r_ij,mean,error
1,0.08485657,1.67e-06
2,0.02522773,5.94e-07
3,0.0137375,8.33e-07
4,0.00753486,7.68e-07
5,0.004809498,3.79e-07
6,0.003056781,2.09e-07
7,0.002081115,1.7e-07
8,0.00140522,2.02e-07
9,0.000988757,3.24e-07
10,0.000690272,1.43e-07
11,0.000495835,1.03e-07
12,0.00035347,1.63e-07
13,0.000257488,1.16e-07
14,0.000186079,7.91e-08
15,0.000136954,8.85e-08
16,0.000100285,8.01e-08
17,7.42577e-05,4.32e-08
18,5.4831e-05,5.7e-08
19,4.09193e-05,4.08e-08
20,3.0381e-05,3.21e-08
21,2.2748e-05,4.8e-08
22,1.7027e-05,2.6e-08
23,1.2848e-05,1.78e-08
24,9.6762e-06,3e-08
25,7.3605e-06,1.7e-08
26,5.6114e-06,2.03e-08
27,4.3683e-06,2.01e-08
28,3.4243e-06,1.39e-08
29,2.8038e-06,1.48e-08
30,2.3775e-06,8.28e-09
31,2.1456e-06,5.93e-09
32,2.0524e-06,9.77e-09
