series,Ja,Delta_n
L=80,0.75,0.78
L=80,1.00,0.58
L=80,1.25,0.30
L=80,1.50,0.06
L=80,1.55,0.01
L=80,1.75,0.00
L=80,2.10,0.00
L=120,0.75,0.78
L=120,1.00,0.57
L=120,1.25,0.29
L=120,1.50,0.05
L=120,1.55,0.00
L=120,1.75,0.00
L=120,2.10,0.00
L=160,0.75,0.78
L=160,1.00,0.57
L=160,1.25,0.28
L=160,1.50,0.04
L=160,1.55,0.00
L=160,1.75,0.00
L=160,2.10,0.00
L=200,0.75,0.78
L=200,1.00,0.56
L=200,1.25,0.28
L=200,1.50,0.04
L=200,1.55,0.00
L=200,1.75,0.00
L=200,2.10,0.00
L=inf,0.75,0.78
L=inf,1.00,0.56
L=inf,1.25,0.27
L=inf,1.50,0.03
L=inf,1.55,0.00
L=inf,1.75,0.00
L=inf,2.10,0.00
