U_over_J,observable,t_over_T,j_minus1,j_0,j_plus1
28,n,0,1,0,1
28,n,0.5,0.186282,0.689038,0.681094
28,n,1,0.184223,0.384556,0.774494
28,n,1.5,0.122137,0.392595,0.129104
28,n,2,0.057092,0.172323,0.161047
28,n,3,0.039317,0.077961,0.055042
28,d,0,0,0,0
28,d,0.5,0.000301,0.238419,0.205235
28,d,1,0.012282,0.145217,0.224520
28,d,1.5,0.002200,0.072312,0.028172
28,d,2,0.004438,0.061188,0.016809
28,d,3,0.006637,0.026188,0.007654
30,n,0,1,0,1
30,n,0.5,0.021717,0.105280,0.866145
30,n,1,0.008900,0.078319,0.054476
30,n,1.5,0.022887,0.059292,0.003569
30,n,2,0.016430,0.048482,0.010066
30,n,3,0.020488,0.032012,0.005192
30,d,0,0,0,0
30,d,0.5,0.000054,0.029953,0.015053
30,d,1,0.002482,0.024536,0.003611
30,d,1.5,0.004304,0.020056,0.001110
30,d,2,0.006189,0.015198,0.000832
30,d,3,0.007966,0.007067,0.000549
36,n,0,1,0,1
36,n,0.5,0.373382,0.491698,0.008853
36,n,1,0.047305,0.384563,0.043140
36,n,1.5,0.103294,0.262119,0.006689
36,n,2,0.029608,0.198578,0.031759
36,n,3,0.023547,0.096125,0.026106
36,d,0,0,0,0
36,d,0.5,0.002676,0.220474,0.000144
36,d,1,0.003879,0.187635,0.001050
36,d,1.5,0.001096,0.107359,0.001038
36,d,2,0.004793,0.096223,0.003700
36,d,3,0.006970,0.045204,0.004546
40,n,0,1,0,1
40,n,0.5,0.633963,0.027936,0.006473
40,n,1,0.023298,0.015300,0.010459
40,n,1.5,0.007969,0.015681,0.005494
40,n,2,0.002431,0.015330,0.005603
40,n,3,0.003317,0.012696,0.006232
40,d,0,0,0,0
40,d,0.5,0.000003,0.004333,0.000240
40,d,1,0.000121,0.004217,0.000396
40,d,1.5,0.000241,0.003930,0.000630
40,d,2,0.000365,0.003494,0.000877
40,d,3,0.000694,0.002636,0.001317
