energy_E_over_J,S_alpha
-26.57016,0.463191848
-25.5859743,0.523057363
-24.936117,0.46230392
-24.4890414,0.901155575
-24.4368668,0.656187477
-23.9122596,0.925276859
-23.5358064,0.939219772
-21.8998264,0.829720272
-21.2846839,1.88252241
-19.7122404,2.0855684
-18.659169,2.35186236
-17.9121747,2.49793699
-17.2518032,2.62456716
-16.6875706,2.74102474
-16.1980844,2.79676541
-15.7701513,2.72912835
-15.3806167,2.85044778
-15.0042721,2.9248341
-14.6672952,2.97401554
-14.3337243,2.98943205
-14.0297204,3.03546129
-13.7445965,3.06781436
-13.4578565,3.08175615
-13.1923115,3.08955205
-12.9326953,3.14611428
-12.6975772,3.15447774
-12.4694699,3.20242545
-12.2430715,3.19221296
-12.0275542,3.22696212
-11.8203833,3.26318019
-11.6084418,3.24146605
-11.4158717,3.28322037
-11.2096832,3.2979492
-11.0339351,3.31769704
-10.8361019,3.34910103
-10.6619875,3.34799455
-10.4744548,3.37894548
-10.3107365,3.37599473
-10.1355388,3.42542406
-9.97262951,3.39429567
-9.81545859,3.4005423
-9.66104388,3.4108383
-9.50596849,3.44511617
-9.34578934,3.45394163
-9.20548573,3.46132615
-9.04795693,3.47182092
-8.89896212,3.46193188
-8.7638603,3.47784548
-8.61971343,3.47661924
-8.47798426,3.51839857
-8.34099342,3.5254768
-8.2063343,3.54335784
-8.07248994,3.5494159
-7.94250626,3.53905161
-7.80946519,3.59739903
-7.68604708,3.55940818
-7.55588669,3.57879963
-7.43330683,3.59939869
-7.30457623,3.60019171
-7.18864403,3.60260895
-7.06441081,3.62217713
-6.94096094,3.62050272
-6.82524369,3.61847591
-6.70587534,3.63442809
-6.58256007,3.63450109
-6.47080297,3.65048337
-6.35781015,3.64691915
-6.24235411,3.66120357
-6.12872592,3.6808608
-6.0189565,3.67462199
-5.90380826,3.68073851
-5.79564289,3.68608005
-5.68488782,3.68645416
-5.58019081,3.69449547
-5.46874369,3.69461383
-5.35566542,3.69637123
-5.25062474,3.71791225
-5.15029039,3.71517644
-5.04389864,3.73441631
-4.93643787,3.71760402
-4.83634147,3.72490982
-4.73031248,3.70747158
-4.6271303,3.7323326
-4.52371873,3.7334209
-4.42341845,3.73546287
-4.32591652,3.739506
-4.22372737,3.74097831
-4.11797508,3.7720611
-4.01724159,3.73914044
-3.92156823,3.76096371
-3.82170955,3.77776101
-3.72345364,3.79055989
-3.62353789,3.77580122
-3.52115075,3.79077471
-3.42548547,3.78421174
-3.33054442,3.77881667
-3.23287936,3.79121888
-3.1362966,3.79718506
-3.0417437,3.78730035
-2.94868952,3.77790628
-2.85406255,3.78802889
-2.75750025,3.78815907
-2.66627629,3.79914029
-2.5691103,3.81220979
-2.47537605,3.80295611
-2.37817146,3.82257709
-2.28727527,3.79850923
-2.19241573,3.78733059
-2.10300275,3.81120295
-2.00855413,3.79410896
-1.91703214,3.83150526
-1.82296929,3.80592194
-1.73165486,3.81190929
-1.63981121,3.8307433
-1.54728234,3.8245971
-1.45146821,3.8331303
-1.35668091,3.84005505
-1.27067277,3.83464213
-1.17725168,3.84276084
-1.08522416,3.8234356
-0.996450456,3.82800034
-0.904853765,3.84706201
-0.811383021,3.84479139
-0.721629218,3.83613359
-0.633101939,3.84622338
-0.542986412,3.82817161
-0.448444498,3.82877376
-0.359571576,3.82433555
-0.270154862,3.85192366
-0.177498227,3.84488536
-0.0865413655,3.83510851
0.000853485658,3.83904435
0.0932773428,3.83805759
0.186336012,3.84601081
0.275217766,3.84600372
0.360522601,3.82511673
0.453741583,3.84279174
0.545733167,3.83299953
0.638539862,3.84691019
0.730517083,3.83154522
0.817853135,3.82879706
0.909026434,3.83470804
0.999452568,3.83830048
1.09259913,3.85929592
1.18342364,3.82366905
1.27527469,3.82538711
1.36314096,3.82917028
1.45545529,3.83799684
1.54825628,3.83817238
1.63885888,3.83807489
1.72591553,3.81933183
1.82238507,3.8373099
1.91401939,3.83528715
2.00050059,3.82087596
2.09685864,3.7990031
2.18867146,3.82481765
2.28343255,3.824566
2.37318254,3.809449
2.47124138,3.82439658
2.56092403,3.82907634
2.65660029,3.80722332
2.74551415,3.78847957
2.83898461,3.82557542
2.93420218,3.81368615
3.02968406,3.79821391
3.12485897,3.80124353
3.21786814,3.77989973
3.31692403,3.79373214
3.40972856,3.80015621
3.50387918,3.80146927
3.60067294,3.77510631
3.69487645,3.79770146
3.79359606,3.78405717
3.89036216,3.79122884
3.98987274,3.78974508
4.08300155,3.80069041
4.18534856,3.78335406
4.28461041,3.79457623
4.38297272,3.77068424
4.47930749,3.76364429
4.58039339,3.77083546
4.68638165,3.75394984
4.78353585,3.76705494
4.88301082,3.74333686
4.98834284,3.73051824
5.09091487,3.74580312
5.19193769,3.74256159
5.29413169,3.73683409
5.400691,3.75186512
5.5107679,3.70627785
5.61274829,3.71852269
5.72608854,3.69633638
5.82789375,3.68528785
5.93165301,3.6891123
6.03950126,3.6842648
6.15177592,3.69165892
6.26458692,3.67593552
6.36976732,3.65989546
6.48094938,3.68123814
6.5959643,3.66171693
6.71120791,3.66999106
6.81957683,3.64490408
6.9413906,3.66868228
7.05922688,3.6337106
7.16916383,3.6293779
7.28669484,3.63946966
7.40853054,3.63985029
7.53009546,3.61729813
7.64818679,3.62740654
7.77024077,3.59214194
7.89649619,3.59320258
8.01853289,3.61321221
8.13680998,3.60409376
8.27140337,3.57088242
8.40526613,3.58274547
8.52874612,3.56260704
8.66662719,3.55407188
8.80566644,3.54849114
8.93981572,3.52833107
9.06609476,3.53097043
9.20426644,3.51086707
9.35635263,3.50328911
9.49497494,3.49424801
9.63037258,3.48787294
9.78260192,3.46020085
9.93252314,3.43856268
10.0766486,3.45928962
10.2383075,3.42490832
10.3966977,3.41861465
10.5591522,3.41453815
10.7196064,3.41878598
10.8905788,3.38696401
11.0601889,3.37475857
11.2174465,3.33247254
11.4044121,3.33286834
11.592384,3.31950645
11.7676856,3.32300687
11.955843,3.3373995
12.1486246,3.27922871
12.3541521,3.27635315
12.5586925,3.25456679
12.7690525,3.20680673
12.9985972,3.20870449
13.220189,3.1719897
13.4534133,3.13121745
13.7140433,3.09873848
13.9645857,3.09289614
14.229157,3.05838715
14.5025808,3.02755955
14.7901702,3.03681916
15.1131696,2.95673117
15.4381507,2.92816058
15.785371,2.91805907
16.1759752,2.83484906
16.5968859,2.83076108
17.0171402,2.72458821
17.5298436,2.68043683
18.1204218,2.55560099
18.7812598,2.50184253
19.5473842,2.35224664
20.5936068,2.1092696
22.1571136,1.91705893
24.1151288,1.19149379
24.2192701,1.00098552
25.0135412,0.958704347
25.6405822,0.495929521
25.9171778,0.865028988
26.4828812,0.577827929
27.566227,0.355254869
