s_bin_center,P_s
0.05,0.00488758553
0.15,0.0977517107
0.25,0.249266862
0.35,0.312805474
0.45,0.576735093
0.55,0.64516129
0.65,0.752688172
0.75,0.806451613
0.85,0.972629521
0.95,0.972629521
1.05,0.845552297
1.15,0.772238514
1.25,0.684261975
1.35,0.562072336
1.45,0.498533724
1.55,0.351906158
1.65,0.219941349
1.75,0.195503421
1.85,0.166177908
1.95,0.0977517107
2.05,0.0635386119
2.15,0.0537634409
2.25,0.0342130987
2.35,0.0244379277
2.45,0.00977517107
2.55,0.00488758553
2.65,0.00977517107
2.75,0.00488758553
2.85,0.00488758553
2.95,0.00488758553
