time_Jt,pst_all_up,pst_all_down,thermal_all_up,thermal_all_down,scar_all_up,scar_all_down
0,0.5,0.5,0.5,0.5,0.5,0.5
0.180360721,0.499999997,0.499999997,0.502449785,0.569742787,0.499999997,0.575298298
0.380761523,0.50000808,0.50000808,0.328469869,0.491164249,0.50000808,0.433636518
0.581162325,0.499925316,0.499925316,0.542137593,0.439898021,0.499925316,0.479147894
0.781563126,0.492202297,0.492202297,0.540306443,0.564632232,0.492202297,0.679120535
0.981963928,0.564527715,0.564527715,0.470353266,0.456983734,0.564527715,0.289646892
1.18236473,0.40918672,0.40918672,0.499441181,0.520088569,0.40918672,0.550428194
1.38276553,0.30376373,0.30376373,0.499215454,0.489472306,0.30376373,0.644136975
1.56312625,0.998060331,0.998060331,0.502867402,0.489758634,0.998060331,0.452546952
1.58316633,0.994961521,0.994961521,0.49730915,0.498737266,0.994961521,0.405136172
1.78356713,0.229256478,0.229256478,0.496550723,0.523889918,0.229256478,0.361393169
1.98396794,0.468301803,0.468301803,0.519299334,0.455330375,0.468301803,0.599213815
2.18436874,0.548743313,0.548743313,0.489210428,0.541229677,0.548743313,0.299001589
2.38476954,0.492876123,0.492876123,0.502786402,0.493431665,0.492876123,0.750919666
2.58517034,0.500072105,0.500072105,0.513587337,0.48885123,0.500072105,0.365781976
2.78557114,0.500003384,0.500003384,0.515592428,0.508178683,0.500003384,0.39924372
2.98597194,0.500000031,0.500000031,0.472579154,0.503898199,0.500000031,0.712369578
3.18637275,0.499999971,0.499999971,0.498530419,0.488851596,0.499999971,0.36237793
3.38677355,0.500000028,0.500000028,0.518678707,0.507893959,0.500000028,0.461348148
3.58717435,0.500046889,0.500046889,0.482860958,0.505529194,0.500046889,0.630730317
3.78757515,0.498621027,0.498621027,0.493421608,0.486177819,0.498621027,0.419480586
3.98797595,0.497625142,0.497625142,0.502635272,0.505236005,0.497625142,0.490749319
4.18837675,0.588986978,0.588986978,0.507861977,0.506193275,0.588986978,0.552931695
4.38877756,0.245780753,0.245780753,0.502455016,0.5135947,0.245780753,0.45609781
4.58917836,0.598323871,0.598323871,0.489017645,0.472404951,0.598323871,0.574974706
4.70941884,0.999708997,0.999708997,0.483517595,0.488913043,0.999708997,0.554079724
4.78957916,0.819671051,0.819671051,0.490332845,0.507353296,0.819671051,0.529020022
4.98997996,0.175804452,0.175804452,0.511192864,0.503781289,0.175804452,0.382949433
5.19038076,0.570169103,0.570169103,0.497313453,0.50012882,0.570169103,0.499052774
5.39078156,0.512164495,0.512164495,0.507134732,0.50373433,0.512164495,0.616261455
5.59118236,0.496535824,0.496535824,0.514175282,0.496976402,0.496535824,0.402780365
5.79158317,0.50009935,0.50009935,0.485179521,0.498740889,0.50009935,0.568205657
5.99198397,0.500000053,0.500000053,0.501477803,0.511798234,0.500000053,0.508080032
6.19238477,0.500000225,0.500000225,0.51075906,0.48417518,0.500000225,0.397604374
6.39278557,0.500000295,0.500000295,0.485995298,0.492497222,0.500000295,0.638611185
6.59318637,0.500000252,0.500000252,0.511040149,0.505278599,0.500000252,0.45575529
6.79358717,0.500117683,0.500117683,0.503034695,0.503948618,0.500117683,0.41340439
6.99398798,0.495442925,0.495442925,0.47906123,0.501566645,0.495442925,0.636069998
7.19438878,0.521139885,0.521139885,0.499867156,0.476853829,0.521139885,0.443101209
7.39478958,0.549894806,0.549894806,0.502921103,0.530831551,0.549894806,0.447069118
7.59519038,0.170373891,0.170373891,0.509241945,0.490032895,0.170373891,0.600193011
7.79559118,0.892921678,0.892921678,0.506160781,0.50365754,0.892921678,0.388567836
7.85571142,0.999901187,0.999901187,0.505724711,0.519387128,0.999901187,0.4199725
7.99599198,0.503883915,0.503883915,0.496140578,0.510942078,0.503883915,0.561749295
8.19639279,0.289967293,0.289967293,0.509647673,0.47716442,0.289967293,0.491950814
8.39679359,0.586323057,0.586323057,0.485941707,0.494718349,0.586323057,0.466707502
8.59719439,0.494554183,0.494554183,0.512846458,0.519970882,0.494554183,0.55351523
8.79759519,0.499179793,0.499179793,0.483776365,0.492488864,0.499179793,0.495697459
8.99799599,0.500030936,0.500030936,0.509352155,0.496382889,0.500030936,0.44597871
9.19839679,0.499999905,0.499999905,0.515117661,0.490621006,0.499999905,0.538511821
9.3987976,0.500000073,0.500000073,0.489677306,0.508125634,0.500000073,0.526636595
9.5991984,0.50000049,0.50000049,0.505347802,0.497823352,0.50000049,0.438389805
9.7995992,0.500006679,0.500006679,0.50640594,0.495515334,0.500006679,0.545780774
10,0.499972626,0.499972626,0.497945848,0.508912246,0.499972626,0.486862232
