energy_E_over_J,S_alpha
-34.3856455,0.754387647
-33.8183389,0.821488697
-33.1824932,0.881813706
-31.2402702,0.747847959
-28.1680887,1.68486046
-26.612554,0.790960733
-26.0041873,1.94270445
-24.6213882,2.08019231
-24.6020596,1.16085635
-23.4053195,1.57511776
-22.5736573,1.50613261
-21.7185949,2.24009187
-21.0716556,2.16189512
-20.4205139,2.48246029
-19.87356,0.623448992
-19.7267243,2.54003004
-19.2240665,2.51367141
-18.752346,2.39758771
-18.2730046,2.59110174
-17.8004425,2.72830828
-17.3823561,2.78381145
-17.0265617,2.78411341
-16.6520078,2.6898423
-16.2248844,2.7899027
-15.8668749,2.92433273
-15.5316238,2.866658
-15.2161765,2.92442642
-14.9043685,2.94736983
-14.6368771,3.03549662
-14.3599469,3.0172634
-14.0275949,3.03470353
-13.7583332,3.08109325
-13.4574848,3.04256443
-13.198554,3.07726821
-12.9485776,3.06899412
-12.7207443,3.09626634
-12.5134787,3.08453131
-12.2356506,3.13648681
-11.9746593,3.11103891
-11.7611233,3.10154629
-11.4836026,3.13361898
-11.2613322,3.21009467
-11.0491852,3.21153042
-11,0.693147181
-10.8401745,3.11873567
-10.6488546,3.20674814
-10.4659732,3.17380077
-10.2727047,3.22180481
-10.0643963,3.20708043
-9.86194748,3.24043762
-9.65880121,3.2421588
-9.43546788,3.28997805
-9.23111206,3.29692539
-9.01661369,3.2505411
-9,0.693147181
-8.84896924,3.32985176
-8.68234696,3.28945631
-8.51922262,3.29445761
-8.35680724,3.26434238
-8.16871023,3.35223283
-7.98464112,3.14122588
-7.80256979,3.35689679
-7.61939518,3.3658295
-7.44045317,3.37860721
-7.25801486,3.40149971
-7.09178427,3.39039832
-7,0.693147181
-6.91547431,3.35669493
-6.7593849,3.36332739
-6.61152844,3.4211687
-6.47046561,3.43391749
-6.31266258,3.44612428
-6.15501003,3.39051318
-5.99696361,3.36760131
-5.82819677,3.41076237
-5.66716438,3.42348128
-5.50443857,3.45397364
-5.33150033,3.42939212
-5.16693504,3.4731421
-5,0.693147181
-4.84966426,3.51036693
-4.71130057,3.44047816
-4.56801753,3.46756582
-4.42659369,3.4907616
-4.30249774,3.45510414
-4.15714532,3.44374947
-4.01769389,3.46315187
-3.87706545,3.48892772
-3.71316997,3.50147716
-3.54924429,3.47728794
-3.39931757,3.28702646
-3.26478777,3.50320544
-3.10457361,3.50279435
-3,0.693147181
-2.96300412,3.53499003
-2.8050363,3.5186114
-2.66065426,3.49647443
-2.54991265,3.53739157
-2.42728651,3.50831913
-2.29750936,3.56852928
-2.17066355,3.51754232
-2.02942849,3.48296378
-1.89288173,3.49140856
-1.75223613,3.55200242
-1.60103643,3.51641527
-1.45801165,3.53809654
-1.31708013,3.52629166
-1.17334857,3.5410983
-1.03479211,3.53590748
-1,0.693147181
-0.908059328,3.57632515
-0.763204283,3.56157668
-0.626042105,3.58405871
-0.502064571,3.59795184
-0.37315583,3.56848641
-0.249453876,3.5122376
-0.117539066,3.56513894
0,-0
0.00740763702,3.56077097
0.130760318,3.54535652
0.251394225,3.57228533
0.390063168,3.53825439
0.534667228,3.52305659
0.670819871,3.5457153
0.816090635,3.55669763
0.949786125,3.57193321
1,0.693147181
1.07694416,3.53700799
1.21377362,3.54451775
1.34077439,3.59225442
1.45836133,3.59774895
1.5881189,3.59451422
1.7152893,3.53950524
1.84375492,3.60899685
1.97549471,3.58166497
2.10187813,3.52730304
2.23222599,3.36994876
2.3556152,3.48541811
2.48768243,3.57009728
2.63155807,3.5653904
2.77470421,3.4874198
2.91421479,3.56680941
3,0.693147181
3.05310846,3.57192792
3.18547013,3.58262952
3.31509348,3.60048591
3.44348453,3.55967947
3.56163042,3.56620244
3.69115507,3.59322759
3.81576022,3.61147453
3.94724541,3.55250773
4.06306229,3.57584284
4.18564917,3.56678102
4.31710404,3.56092622
4.43324889,3.58551519
4.57320653,3.5746656
4.72933584,3.4981961
4.88465021,3.53309983
5,0.693147181
5.01906427,3.58758549
5.15762588,3.54765234
5.27774695,3.58047353
5.41154632,3.58620727
5.54341616,3.5741282
5.66967597,3.56618901
5.80237419,3.56717127
5.93228102,3.59092317
6.04866258,3.61447874
6.19329712,3.56179973
6.31788776,3.35683727
6.44495674,3.55315564
6.57504978,3.54599665
6.73277035,3.52319884
6.89859468,3.52776029
7,0.693147181
7.02537329,3.53090903
7.1743426,3.55387961
7.31670013,3.55238376
7.44646143,3.49495864
7.59255225,3.51660267
7.71910958,3.53577452
7.85539692,3.55879888
7.98704341,3.55466472
8.12006079,3.53017732
8.24871009,3.53804274
8.37151706,3.50428775
8.51835981,3.50492246
8.66769694,3.47229014
8.83954942,3.43241128
9,0.693147181
9.15718777,3.49709877
9.31341309,3.48441952
9.46104696,3.5101607
9.60615093,3.51775351
9.74287694,3.4426343
9.87649004,3.45104387
10.009005,3.50649867
10.1483784,3.46216685
10.2965898,3.43652987
10.4325338,3.4584145
10.5849907,3.48106908
10.7615695,3.41182724
10.9262733,3.40841723
11,0.693147181
11.1144728,3.40272415
11.280144,3.43993669
11.4485944,3.42530628
11.6053282,3.42638361
11.7712057,3.42809054
11.9197546,3.40816947
12.049036,3.43202402
12.1978609,3.37200672
12.3424403,3.41039418
12.4887757,3.38085271
12.6641283,3.38192407
12.8542801,3.36308518
13.0693829,3.39691073
13.2771082,3.3241882
13.4775303,3.37734725
13.6487426,3.36218592
13.81738,3.35024327
13.9899996,3.12082369
14.1504991,3.25139879
14.3062725,3.31649349
14.4581778,3.30535004
14.639193,3.29160785
14.8601617,3.17971106
15.1073447,3.25386933
15.348962,3.17979344
15.5907997,3.24869115
15.7896163,3.24854507
15.9692371,3.19862997
16.1287666,3.03863191
16.3025095,3.17826808
16.4856041,3.22917433
16.6740357,3.11785194
16.9220282,3.15743145
17.2296003,3.15044654
17.5506223,3.14732308
17.7977581,3.10465139
18.0151125,3.1272847
18.2001074,3.03794357
18.3991514,3.10256505
18.6060426,3.07324596
18.8630897,3.09999239
19.1965277,2.95618515
19.5889281,3.05617139
19.9045492,3.0444961
20.1317918,3.03368924
20.3647019,3.00190808
20.4072557,1.03261661
20.5836138,2.98984962
20.8300341,2.97034245
21.2542835,2.8090103
21.7859858,2.79953447
22.1204147,2.88371342
22.3774497,2.81628978
22.6668719,2.71463393
23.0048035,2.83508144
23.6683872,2.60270977
24.1685559,2.37601961
24.4950782,2.75254913
24.8763827,2.57801852
25.4853995,2.48638934
26.2772439,2.49780065
26.6870929,2.38752749
27.1927185,2.48334679
28.2220683,1.01745757
28.3006167,2.34514365
28.9341045,1.92239757
30.2416544,2.19382556
31.0660695,2.13414666
32.8597152,1.95524729
34.3876936,0.927150992
35.0707288,1.75404332
38.9538569,0.892713669
39.6756709,0.885585639
