temperature_over_omega,m30,m40,m50,m60
0.4,0.537486636166,0.541925905122,0.544026973566,0.545163969304
0.386896551724,0.574051002002,0.578561005918,0.580676725827,0.581821177435
0.373793103448,0.611221047592,0.615781804227,0.617897117636,0.619038247708
0.360689655172,0.648681605044,0.653265608715,0.655360511023,0.656485237323
0.347586206897,0.686070984465,0.690652583352,0.692696181956,0.693789137622
0.334482758621,0.722988112836,0.727546523331,0.729493408217,0.730539665709
0.321379310345,0.759001024157,0.763503606932,0.765308238534,0.766298310675
0.308275862069,0.793657930175,0.798041239465,0.799685745134,0.800611009838
0.295172413793,0.826501849941,0.830692431037,0.832178180319,0.833022809408
0.282068965517,0.857089986381,0.861020815084,0.862356339064,0.863104318577
0.268965517241,0.885017513495,0.888632901579,0.889834085956,0.890467450051
0.255862068966,0.90994559625,0.913204836261,0.914285427185,0.914794021001
0.24275862069,0.931629305029,0.934503758975,0.935450992765,0.935851005263
0.229655172414,0.94993840226,0.952407504176,0.95319734041,0.953508960439
0.216551724138,0.964873903462,0.966926950755,0.967548989304,0.967786346729
0.203448275862,0.976581611815,0.978209171234,0.978669179899,0.978843071425
0.190344827586,0.985354593889,0.986537984464,0.986853208659,0.986973308551
0.17724137931,0.991486139269,0.992315459989,0.992510231299,0.992588360205
0.164137931034,0.995464357328,0.996010117596,0.996130558792,0.996175450107
0.151034482759,0.997846137114,0.99816247041,0.998231063083,0.998254184786
0.137931034483,0.999106994464,0.999272538119,0.999310074945,0.99931891718
0.124827586207,0.999684848362,0.9997647736,0.999780366978,0.999783791295
0.111724137931,0.999909130994,0.999942140277,0.999946939478,0.999948037488
0.0986206896552,0.999979388052,0.999989928781,0.999991247921,0.999991495723
0.0855172413793,0.999996458789,0.99999890059,0.999999158659,0.999999204081
0.0724137931034,0.999999577137,0.999999928853,0.999999963138,0.999999967903
0.0593103448276,0.999999955046,0.999999996572,0.999999999336,0.999999999642
0.0462068965517,0.999999990829,0.999999999557,0.99999999994,0.999999999959
0.0331034482759,0.999999994462,0.999999999638,0.999999999927,0.999999999963
0.02,0.999999996295,0.999999999634,0.999999999908,0.999999999959
