rb_over_a,delta_over_omega,threshold_temperature_over_omega
1,0,0.148010548294
1,0.1379310345,0.13936903386
1,0.275862069,0.132935877462
1,0.4137931034,0.127947612703
1,0.5517241379,0.12221769875
1,0.6896551724,0.117000005305
1,0.8275862069,0.113953734156
1,0.9655172414,0.112673016939
1,1.103448276,0.11300995005
1,1.24137931,0.115008290984
1,1.379310345,0.118918490779
1,1.517241379,0.12530169401
1,1.655172414,0.129994741379
1,1.793103448,0.135619204166
1,1.931034483,0.142968367943
1,2.068965517,0.153028009145
1,2.206896552,0.16346143986
1,2.344827586,0.172631133896
1,2.482758621,0.184683113749
1,2.620689655,0.197766588036
1,2.75862069,0.209689700265
1,2.896551724,0.225568852556
1,3.034482759,0.238720506151
1,3.172413793,0.254931509651
1,3.310344828,0.270570686325
1,3.448275862,0.287743483364
1,3.586206897,0.304671201645
1,3.724137931,0.323080002627
1,3.862068966,0.340636544519
1,4,0.360411227968
1.0464,0,0.144757976686
1.0464,0.1379310345,0.135437278128
1.0464,0.275862069,0.128091130263
1.0464,0.4137931034,0.118197757061
1.0464,0.5517241379,0.109715714137
1.0464,0.6896551724,0.103662758609
1.0464,0.8275862069,0.0991890640333
1.0464,0.9655172414,0.0958940153319
1.0464,1.103448276,0.0936403902706
1.0464,1.24137931,0.0924246959561
1.0464,1.379310345,0.0922800073813
1.0464,1.517241379,0.0932167645019
1.0464,1.655172414,0.0952151655107
1.0464,1.793103448,0.0982714717916
1.0464,1.931034483,0.102487819239
1.0464,2.068965517,0.108195744959
1.0464,2.206896552,0.11612801053
1.0464,2.344827586,0.126743916525
1.0464,2.482758621,0.133952259462
1.0464,2.620689655,0.142922535558
1.0464,2.75862069,0.155078962869
1.0464,2.896551724,0.165902589787
1.0464,3.034482759,0.17671766597
1.0464,3.172413793,0.191241773621
1.0464,3.310344828,0.203001122897
1.0464,3.448275862,0.216881045883
1.0464,3.586206897,0.232123027799
1.0464,3.724137931,0.246464774148
1.0464,3.862068966,0.263544474673
1.0464,4,0.278838347255
1.0928,0,0.141675698469
1.0928,0.1379310345,0.131832345135
1.0928,0.275862069,0.121458939553
1.0928,0.4137931034,0.109465861817
1.0928,0.5517241379,0.100860938803
1.0928,0.6896551724,0.0939035779657
1.0928,0.8275862069,0.0833237082672
1.0928,0.9655172414,0.0751911567227
1.0928,1.103448276,0.0696312326077
1.0928,1.24137931,0.0655915175545
1.0928,1.379310345,0.0626407902656
1.0928,1.517241379,0.0606671989336
1.0928,1.655172414,0.0596685286116
1.0928,1.793103448,0.0596486773459
1.0928,1.931034483,0.0606052188172
1.0928,2.068965517,0.0625342259679
1.0928,2.206896552,0.0654433702917
1.0928,2.344827586,0.0694442041451
1.0928,2.482758621,0.0749538913398
1.0928,2.620689655,0.0829975047196
1.0928,2.75862069,0.0937290721564
1.0928,2.896551724,0.10080065849
1.0928,3.034482759,0.109553342658
1.0928,3.172413793,0.121752312058
1.0928,3.310344828,0.132162663522
1.0928,3.448275862,0.142267142586
1.0928,3.586206897,0.155900693846
1.0928,3.724137931,0.167358603058
1.0928,3.862068966,0.179496628056
1.0928,4,0.194767234728
1.1391,0,0.138986018182
1.1391,0.1379310345,0.128724785615
1.1391,0.275862069,0.114776858077
1.1391,0.4137931034,0.103202352563
1.1391,0.5517241379,0.0941798676941
1.1391,0.6896551724,0.0802893451911
1.1391,0.8275862069,0.0700799211793
1.1391,0.9655172414,0.0624525562395
1.1391,1.103448276,0.0523858077917
1.1391,1.24137931,0.045572103461
1.1391,1.379310345,0.045803708237
1.1391,1.517241379,0.0524611596781
1.1391,1.655172414,0.0614567867129
1.1391,1.793103448,0.0667792712975
1.1391,1.931034483,0.0712426743665
1.1391,2.068965517,0.0744261456305
1.1391,2.206896552,0.0757879323735
1.1391,2.344827586,0.0750303591342
1.1391,2.482758621,0.0723289494866
1.1391,2.620689655,0.0681983277722
1.1391,2.75862069,0.063132104346
1.1391,2.896551724,0.056081829064
1.1391,3.034482759,0.0476709068585
1.1391,3.172413793,0.0459472892309
1.1391,3.310344828,0.0511261469558
1.1391,3.448275862,0.061396575731
1.1391,3.586206897,0.0688607691173
1.1391,3.724137931,0.0785808061377
1.1391,3.862068966,0.0930322798044
1.1391,4,0.102092565007
1.1855,0,0.136787724776
1.1855,0.1379310345,0.126179351153
1.1855,0.275862069,0.110033326761
1.1855,0.4137931034,0.098648383854
1.1855,0.5517241379,0.0854147121545
1.1855,0.6896551724,0.0716994638495
1.1855,0.8275862069,0.0620702921939
1.1855,0.9655172414,0.0484546127369
1.1855,1.103448276,0.0439404940599
1.1855,1.24137931,0.0547470253852
1.1855,1.379310345,0.0689094208254
1.1855,1.517241379,0.0860554753125
1.1855,1.655172414,0.101156313307
1.1855,1.793103448,0.114789416733
1.1855,1.931034483,0.129181196329
1.1855,2.068965517,0.138307617092
1.1855,2.206896552,0.147721769828
1.1855,2.344827586,0.15725563715
1.1855,2.482758621,0.162801709558
1.1855,2.620689655,0.166007006087
1.1855,2.75862069,0.16769375224
1.1855,2.896551724,0.167706530801
1.1855,3.034482759,0.166042159756
1.1855,3.172413793,0.162850383527
1.1855,3.310344828,0.157355492054
1.1855,3.448275862,0.147824852353
1.1855,3.586206897,0.138396474352
1.1855,3.724137931,0.129238710944
1.1855,3.862068966,0.114877047054
1.1855,4,0.101213114879
1.2319,0,0.135125294755
1.2319,0.1379310345,0.122639145135
1.2319,0.275862069,0.106776663302
1.2319,0.4137931034,0.095396778843
