temperature_over_omega,m30,m40,m50,m60
0.4,0.0657040204395,0.0785413679656,0.085385824433,0.0893288789042
0.386896551724,0.0670495441796,0.0794252041882,0.0859186766829,0.0896793376834
0.373793103448,0.0685791272457,0.0804579790977,0.0865879500379,0.0901500115733
0.360689655172,0.0703221031252,0.0816689873991,0.0874100642515,0.0907546266683
0.347586206897,0.0722879118456,0.0830965711694,0.0884018130391,0.0915078825022
0.334482758621,0.0744792259499,0.084771231314,0.0895764444763,0.092425597796
0.321379310345,0.0769165459747,0.086675427189,0.0909405782664,0.0935250526974
0.308275862069,0.0796212722142,0.0887598683907,0.0925042113734,0.0948387835629
0.295172413793,0.0826045507897,0.091025324706,0.0942967869,0.0963556212143
0.282068965517,0.0858713245848,0.0934976023896,0.0963496026117,0.0981240373564
0.268965517241,0.0894241611762,0.0962026501952,0.0986940774954,0.100173502081
0.255862068966,0.0932649021598,0.0991708448989,0.101353332135,0.102539437329
0.24275862069,0.0973974805938,0.10243166447,0.104313231284,0.105247895283
0.229655172414,0.10182539516,0.106006237761,0.107570426335,0.108305428626
0.216551724138,0.106548232425,0.109916315875,0.111168415186,0.111746447561
0.203448275862,0.111565764356,0.114181665758,0.115156922746,0.115612167939
0.190344827586,0.116920700256,0.118840413067,0.119587881607,0.119944048873
0.17724137931,0.122585534674,0.12392961249,0.124478716583,0.124764537455
0.164137931034,0.128471054908,0.129417822611,0.129841349827,0.130040376722
0.151034482759,0.134629979372,0.135308734184,0.135601795679,0.135729295653
0.137931034483,0.141045929015,0.141539200957,0.141724042695,0.141794865774
0.124827586207,0.147741496088,0.148072670438,0.148176357919,0.14820959224
0.111724137931,0.154699078724,0.154894355692,0.154940702621,0.154959460327
0.0986206896552,0.161939109261,0.162039690875,0.162061904668,0.162068377605
0.0855172413793,0.169562032586,0.169602135403,0.169613329696,0.169615711756
0.0724137931034,0.177699024253,0.177711117166,0.177714646772,0.177715990002
0.0593103448276,0.186387617264,0.18639595708,0.186397424526,0.186397802203
0.0462068965517,0.194758472483,0.194772941731,0.194774461457,0.194774685414
0.0331034482759,0.200161736397,0.200182706137,0.200188030809,0.200189245214
0.02,0.201346562332,0.201371666359,0.201384800352,0.201387080124
