rb_over_a,temperature_over_omega,purity
1,1,0.0222979679875
1,0.9663793103,0.0238211854207
1,0.9327586207,0.0256347667502
1,0.899137931,0.0278131710678
1,0.8655172414,0.0304545370508
1,0.8318965517,0.0336894939209
1,0.7982758621,0.0376936158131
1,0.7646551724,0.0427050920616
1,0.7310344828,0.0490498133652
1,0.6974137931,0.0571768364165
1,0.6637931034,0.0677079293764
1,0.6301724138,0.0815051131104
1,0.5965517241,0.0997585051861
1,0.5629310345,0.124090436389
1,0.5293103448,0.156654980139
1,0.4956896552,0.200175230614
1,0.4620689655,0.257793716
1,0.4284482759,0.332520002135
1,0.3948275862,0.426010877714
1,0.3612068966,0.536605987124
1,0.3275862069,0.657242064456
1,0.2939655172,0.774993428393
1,0.2603448276,0.874308407065
1,0.2267241379,0.943701196993
1,0.1931034483,0.981606520707
1,0.1594827586,0.996314972231
1,0.125862069,0.999685413763
1,0.09224137931,0.999995355507
1,0.05862068966,0.999999999391
1,0.025,1
1.0464,1,0.0147830506581
1.0464,0.9663793103,0.0153093484394
1.0464,0.9327586207,0.0159262816058
1.0464,0.899137931,0.0166552750154
1.0464,0.8655172414,0.0175233918326
1.0464,0.8318965517,0.0185703719552
1.0464,0.7982758621,0.0198451709969
1.0464,0.7646551724,0.0214157160055
1.0464,0.7310344828,0.0233758790431
1.0464,0.6974137931,0.0258572984228
1.0464,0.6637931034,0.0290475948987
1.0464,0.6301724138,0.0332186539081
1.0464,0.5965517241,0.0387709898678
1.0464,0.5629310345,0.0463037633767
1.0464,0.5293103448,0.0567251053668
1.0464,0.4956896552,0.071423276726
1.0464,0.4620689655,0.0925213500138
1.0464,0.4284482759,0.123220874963
1.0464,0.3948275862,0.168160747736
1.0464,0.3612068966,0.233487686853
1.0464,0.3275862069,0.325858257061
1.0464,0.2939655172,0.449072895375
1.0464,0.2603448276,0.597758358998
1.0464,0.2267241379,0.751693270814
1.0464,0.1931034483,0.880141979121
1.0464,0.1594827586,0.9600084019
1.0464,0.125862069,0.992741662713
1.0464,0.09224137931,0.999604329492
1.0464,0.05862068966,0.99999911367
1.0464,0.025,1
1.0928,1,0.01233401646
1.0928,0.9663793103,0.012557148895
1.0928,0.9327586207,0.0128138177524
1.0928,0.899137931,0.0131110407352
1.0928,0.8655172414,0.0134563704716
1.0928,0.8318965517,0.0138639443579
1.0928,0.7982758621,0.0143474908821
1.0928,0.7646551724,0.0149267983544
1.0928,0.7310344828,0.0156283821507
1.0928,0.6974137931,0.0164883339768
1.0928,0.6637931034,0.0175566338731
1.0928,0.6301724138,0.0189038048247
1.0928,0.5965517241,0.0206314040886
1.0928,0.5629310345,0.0228889358595
1.0928,0.5293103448,0.0259017431622
1.0928,0.4956896552,0.0300180484667
1.0928,0.4620689655,0.0357899313769
1.0928,0.4284482759,0.0441149103495
1.0928,0.3948275862,0.0564835065745
1.0928,0.3612068966,0.0754158115751
1.0928,0.3275862069,0.105161904641
1.0928,0.2939655172,0.152690827607
1.0928,0.2603448276,0.228353592889
1.0928,0.2267241379,0.344405788273
1.0928,0.1931034483,0.506737121287
1.0928,0.1594827586,0.698608818384
1.0928,0.125862069,0.871681436061
1.0928,0.09224137931,0.972718441834
1.0928,0.05862068966,0.998980349519
1.0928,0.025,0.999999990987
1.1391,1,0.0122486954091
1.1391,0.9663793103,0.0124485198535
1.1391,0.9327586207,0.0126760680667
1.1391,0.899137931,0.0129366681359
1.1391,0.8655172414,0.0132369747231
1.1391,0.8318965517,0.0135853788918
1.1391,0.7982758621,0.0139925711405
1.1391,0.7646551724,0.0144723280705
1.1391,0.7310344828,0.0150426344544
1.1391,0.6974137931,0.0157273094535
1.1391,0.6637931034,0.0165583598645
1.1391,0.6301724138,0.0175793954698
1.1391,0.5965517241,0.0188507581497
1.1391,0.5629310345,0.0204574614049
1.1391,0.5293103448,0.0225216579001
1.1391,0.4956896552,0.0252225339001
1.1391,0.4620689655,0.0288286616996
1.1391,0.4284482759,0.0337515703239
1.1391,0.3948275862,0.0406356936943
1.1391,0.3612068966,0.0505098780811
1.1391,0.3275862069,0.0650368947204
1.1391,0.2939655172,0.0869318751004
1.1391,0.2603448276,0.120521937253
1.1391,0.2267241379,0.172413415008
1.1391,0.1931034483,0.251798561682
1.1391,0.1594827586,0.369404742669
1.1391,0.125862069,0.533269393985
1.1391,0.09224137931,0.736508357651
1.1391,0.05862068966,0.92700420947
1.1391,0.025,0.999311856803
1.1855,1,0.0150390378031
1.1855,0.9663793103,0.0155777597845
1.1855,0.9327586207,0.0162082144094
1.1855,0.899137931,0.0169521724989
1.1855,0.8655172414,0.0178379305583
1.1855,0.8318965517,0.0189031267826
1.1855,0.7982758621,0.0201981496809
1.1855,0.7646551724,0.0217915208105
1.1855,0.7310344828,0.0237777613963
1.1855,0.6974137931,0.0262893126046
1.1855,0.6637931034,0.0295147885435
1.1855,0.6301724138,0.0337271866414
1.1855,0.5965517241,0.0393280679196
1.1855,0.5629310345,0.0469172222273
1.1855,0.5293103448,0.0574026357038
1.1855,0.4956896552,0.0721710696345
1.1855,0.4620689655,0.0933285673987
1.1855,0.4284482759,0.124037936691
1.1855,0.3948275862,0.168864254666
1.1855,0.3612068966,0.233792293034
1.1855,0.3275862069,0.325239166749
1.1855,0.2939655172,0.446694709537
1.1855,0.2603448276,0.592754430574
1.1855,0.2267241379,0.744062243761
1.1855,0.1931034483,0.871694704645
1.1855,0.1594827586,0.953773877719
1.1855,0.125862069,0.990205275488
1.1855,0.09224137931,0.999255432083
1.1855,0.05862068966,0.999996085586
1.1855,0.025,1
1.2319,1,0.0200899064813
1.2319,0.9663793103,0.0215218699154
1.2319,0.9327586207,0.023262877707
1.2319,0.899137931,0.0253999587915
1.2319,0.8655172414,0.0280511245919
1.2319,0.8318965517,0.0313794624514
