rb_over_a,delta_over_omega,threshold_temperature_over_omega
1,0,0.239309666303
1,0.1379310345,0.227667518569
1,0.275862069,0.218569413435
1,0.4137931034,0.21105885718
1,0.5517241379,0.204907835083
1,0.6896551724,0.200218321683
1,0.8275862069,0.19718542225
1,0.9655172414,0.195975052437
1,1.103448276,0.196658599707
1,1.24137931,0.19918575168
1,1.379310345,0.203397325741
1,1.517241379,0.209091296219
1,1.655172414,0.216111566771
1,1.793103448,0.224451394237
1,1.931034483,0.235233750829
1,2.068965517,0.247044685828
1,2.206896552,0.259818386363
1,2.344827586,0.275328291321
1,2.482758621,0.291259599999
1,2.620689655,0.309708891518
1,2.75862069,0.328704774525
1,2.896551724,0.349998010705
1,3.034482759,0.372335042626
1,3.172413793,0.395447201605
1,3.310344828,0.420371540137
1,3.448275862,0.446170235601
1,3.586206897,0.472679055272
1,3.724137931,0.499835580148
1,3.862068966,0.527732174286
1,4,0.556484171087
1.0464,0,0.236443776578
1.0464,0.1379310345,0.223120918461
1.0464,0.275862069,0.212045019318
1.0464,0.4137931034,0.201673632002
1.0464,0.5517241379,0.192003794265
1.0464,0.6896551724,0.184741570948
1.0464,0.8275862069,0.178750641254
1.0464,0.9655172414,0.17406117306
1.0464,1.103448276,0.170807031451
1.0464,1.24137931,0.169136916345
1.0464,1.379310345,0.169144416668
1.0464,1.517241379,0.170833245646
1.0464,1.655172414,0.17411738951
1.0464,1.793103448,0.178852448159
1.0464,1.931034483,0.184904017984
1.0464,2.068965517,0.192237149162
1.0464,2.206896552,0.201986906194
1.0464,2.344827586,0.212392181154
1.0464,2.482758621,0.223470927174
1.0464,2.620689655,0.236736649186
1.0464,2.75862069,0.250579061257
1.0464,2.896551724,0.265789595941
1.0464,3.034482759,0.282449903422
1.0464,3.172413793,0.300246066577
1.0464,3.310344828,0.319414088461
1.0464,3.448275862,0.340118736422
1.0464,3.586206897,0.361406274174
1.0464,3.724137931,0.384762763325
1.0464,3.862068966,0.408962731415
1.0464,4,0.4338919491
1.0928,0,0.23311908029
1.0928,0.1379310345,0.218459677301
1.0928,0.275862069,0.205148111601
1.0928,0.4137931034,0.191735048817
1.0928,0.5517241379,0.180612984226
1.0928,0.6896551724,0.170012671808
1.0928,0.8275862069,0.159635929886
1.0928,0.9655172414,0.151910721598
1.0928,1.103448276,0.145459496493
1.0928,1.24137931,0.140309220127
1.0928,1.379310345,0.136596108482
1.0928,1.517241379,0.134335615225
1.0928,1.655172414,0.133379284066
1.0928,1.793103448,0.133556565616
1.0928,1.931034483,0.134839544886
1.0928,2.068965517,0.137359785615
1.0928,2.206896552,0.141267416622
1.0928,2.344827586,0.146583349497
1.0928,2.482758621,0.153219450486
1.0928,2.620689655,0.161521277783
1.0928,2.75862069,0.17203424271
1.0928,2.896551724,0.182843733267
1.0928,3.034482759,0.194498783728
1.0928,3.172413793,0.208178385439
1.0928,3.310344828,0.221646375038
1.0928,3.448275862,0.23687598216
1.0928,3.586206897,0.252417289557
1.0928,3.724137931,0.269401771316
1.0928,3.862068966,0.287062623351
1.0928,4,0.306336283657
1.1391,0,0.22971156216
1.1391,0.1379310345,0.213975310586
1.1391,0.275862069,0.198413950229
1.1391,0.4137931034,0.183727871642
1.1391,0.5517241379,0.169965636062
1.1391,0.6896551724,0.156166974012
1.1391,0.8275862069,0.144770570183
1.1391,0.9655172414,0.134281294175
1.1391,1.103448276,0.12622766229
1.1391,1.24137931,0.124241339736
1.1391,1.379310345,0.128239027894
1.1391,1.517241379,0.136940285495
1.1391,1.655172414,0.146304068364
1.1391,1.793103448,0.154536712916
1.1391,1.931034483,0.161323938672
1.1391,2.068965517,0.166361678047
1.1391,2.206896552,0.168412795328
1.1391,2.344827586,0.16752846949
1.1391,2.482758621,0.163698728572
1.1391,2.620689655,0.157392459685
1.1391,2.75862069,0.149953262125
1.1391,2.896551724,0.141247138782
1.1391,3.034482759,0.132688068113
1.1391,3.172413793,0.127315419176
1.1391,3.310344828,0.128261457237
1.1391,3.448275862,0.135219372558
1.1391,3.586206897,0.14531621066
1.1391,3.724137931,0.156707231006
1.1391,3.862068966,0.170737476552
1.1391,4,0.184709503127
1.1855,0,0.226571132001
1.1855,0.1379310345,0.209975651147
1.1855,0.275862069,0.19242151178
1.1855,0.4137931034,0.176870186507
1.1855,0.5517241379,0.160330177066
1.1855,0.6896551724,0.146085428242
1.1855,0.8275862069,0.132457473996
1.1855,0.9655172414,0.122836377416
1.1855,1.103448276,0.123249374058
1.1855,1.24137931,0.136043046821
1.1855,1.379310345,0.153983457858
1.1855,1.517241379,0.174364292778
1.1855,1.655172414,0.192918533834
1.1855,1.793103448,0.21179656006
1.1855,1.931034483,0.227858502115
1.1855,2.068965517,0.243314987824
1.1855,2.206896552,0.255823341455
1.1855,2.344827586,0.266839314826
1.1855,2.482758621,0.275395072848
1.1855,2.620689655,0.281095886297
1.1855,2.75862069,0.284049377058
1.1855,2.896551724,0.284253013973
1.1855,3.034482759,0.281695463493
1.1855,3.172413793,0.2763707782
1.1855,3.310344828,0.268179821208
1.1855,3.448275862,0.257277556405
1.1855,3.586206897,0.244974690364
1.1855,3.724137931,0.229810404754
1.1855,3.862068966,0.213610523104
1.1855,4,0.1950500056
1.2319,0,0.224333146225
1.2319,0.1379310345,0.206695163813
1.2319,0.275862069,0.188291492196
1.2319,0.4137931034,0.171332763763
1.2319,0.5517241379,0.153793322442
1.2319,0.6896551724,0.138193489888
1.2319,0.8275862069,0.123935874721
1.2319,0.9655172414,0.119859145017
1.2319,1.103448276,0.131169097899
1.2319,1.24137931,0.152646337891
1.2319,1.379310345,0.177314786935
1.2319,1.517241379,0.201451613578
1.2319,1.655172414,0.224429900967
1.2319,1.793103448,0.247507020477
1.2319,1.931034483,0.269164038654
1.2319,2.068965517,0.289504340895
1.2319,2.206896552,0.309591315211
1.2319,2.344827586,0.327673038024
1.2319,2.482758621,0.345646242393
1.2319,2.620689655,0.361371149288
1.2319,2.75862069,0.376531876365
1.2319,2.896551724,0.389203527533
1.2319,3.034482759,0.400221958788
1.2319,3.172413793,0.409110684704
1.2319,3.310344828,0.415383624601
1.2319,3.448275862,0.419080544575
1.2319,3.586206897,0.420184295212
1.2319,3.724137931,0.418676916636
1.2319,3.862068966,0.414561740016
1.2319,4,0.407833273292
1.2783,0,0.222704177118
1.2783,0.1379310345,0.204271247873
1.2783,0.275862069,0.185327390338
1.2783,0.4137931034,0.167230706626
1.2783,0.5517241379,0.149294275271
1.2783,0.6896551724,0.132436565343
1.2783,0.8275862069,0.119657541421
1.2783,0.9655172414,0.120407446771
1.2783,1.103448276,0.139038746415
1.2783,1.24137931,0.16394374277
1.2783,1.379310345,0.190129885266
1.2783,1.517241379,0.216539929778
1.2783,1.655172414,0.242033859885
1.2783,1.793103448,0.266357371061
1.2783,1.931034483,0.289979878142
1.2783,2.068965517,0.313647276165
1.2783,2.206896552,0.336415649235
1.2783,2.344827586,0.358364013127
1.2783,2.482758621,0.380504335357
1.2783,2.620689655,0.401675256441
1.2783,2.75862069,0.42226619033
1.2783,2.896551724,0.442531445023
1.2783,3.034482759,0.461464377003
1.2783,3.172413793,0.480238355093
1.2783,3.310344828,0.497357893002
1.2783,3.448275862,0.51388565094
1.2783,3.586206897,0.528522043527
1.2783,3.724137931,0.542282018457
1.2783,3.862068966,0.553761092532
1.2783,4,0.562996669629
1.3247,0,0.221724296102
1.3247,0.1379310345,0.202759191329
1.3247,0.275862069,0.183492062566
1.3247,0.4137931034,0.164619588771
1.3247,0.5517241379,0.146493650297
1.3247,0.6896551724,0.128719593071
1.3247,0.8275862069,0.117127779573
1.3247,0.9655172414,0.120902435154
1.3247,1.103448276,0.142716652244
1.3247,1.24137931,0.169484407062
1.3247,1.379310345,0.196400862345
1.3247,1.517241379,0.223006596831
1.3247,1.655172414,0.249382660154
1.3247,1.793103448,0.274911154784
1.3247,1.931034483,0.299529135874
1.3247,2.068965517,0.323773100643
1.3247,2.206896552,0.348236121761
1.3247,2.344827586,0.372146161792
1.3247,2.482758621,0.395346860285
1.3247,2.620689655,0.419025126281
