temperature_over_omega,m30,m40,m50,m60
0.4,0.0921140018475,0.121630309265,0.139409219128,0.15045660175
0.386896551724,0.0934608477982,0.122365810536,0.139926447203,0.15072075848
0.373793103448,0.0947746369719,0.123169174625,0.14051646407,0.15095491098
0.360689655172,0.0962728383839,0.124089055454,0.141010097018,0.151314372697
0.347586206897,0.0980393039311,0.125157951418,0.141598424539,0.151696646124
0.334482758621,0.100169393015,0.126410141639,0.14263644471,0.152000375575
0.321379310345,0.103956924626,0.127885761283,0.143628024071,0.152360523325
0.308275862069,0.107432516728,0.129633846292,0.144685039885,0.152858917851
0.295172413793,0.110933505841,0.131716553758,0.145954851085,0.153556271236
0.282068965517,0.115328037617,0.134211919115,0.147515252223,0.154518577431
0.268965517241,0.119422538485,0.137174693891,0.149447776897,0.155825864345
0.255862068966,0.124020592573,0.140640252913,0.151848697705,0.157577438224
0.24275862069,0.129369952914,0.144802724926,0.154846358395,0.159899086442
0.229655172414,0.135617332033,0.149785187065,0.158578760586,0.16293804865
0.216551724138,0.142907081198,0.155604765192,0.163114700935,0.166827355085
0.203448275862,0.15137422398,0.16253430298,0.168645836506,0.17173622839
0.190344827586,0.161103461391,0.170681429341,0.175379538522,0.177856157294
0.17724137931,0.172080839786,0.179756943261,0.183434778521,0.185340244327
0.164137931034,0.184169459731,0.190023866548,0.192796954238,0.194253550889
0.151034482759,0.197128058301,0.201352756691,0.203335754648,0.204326094675
0.137931034483,0.210625105966,0.21350339602,0.214879698966,0.215451578707
0.124827586207,0.224344972518,0.226147155146,0.226944000871,0.227260565213
0.111724137931,0.237737507562,0.238734032072,0.239180722518,0.239337126251
0.0986206896552,0.250503440462,0.25105317048,0.251253052092,0.251321628887
0.0855172413793,0.262621993502,0.262898580211,0.262982061254,0.263007267509
0.0724137931034,0.274051673573,0.274252256123,0.274285330878,0.27429771147
0.0593103448276,0.284418093047,0.284691156402,0.284748209634,0.284762388491
0.0462068965517,0.292017285666,0.292562045756,0.292691019526,0.292737040453
0.0331034482759,0.295163177232,0.296026353893,0.296164384581,0.296256454233
0.02,0.296031663693,0.296549965267,0.296697674606,0.296733335177
