rb_over_a,delta_over_omega,threshold_temperature_over_omega
1,0,0.285220991622
1,0.1379310345,0.274317375855
1,0.275862069,0.264952353248
1,0.4137931034,0.257651854915
1,0.5517241379,0.252665869467
1,0.6896551724,0.249381231401
1,0.8275862069,0.247728967617
1,0.9655172414,0.247623171334
1,1.103448276,0.248977890567
1,1.24137931,0.251730124476
1,1.379310345,0.255857763729
1,1.517241379,0.261531596355
1,1.655172414,0.269314230641
1,1.793103448,0.278442516196
1,1.931034483,0.288951058091
1,2.068965517,0.301799921718
1,2.206896552,0.316402414717
1,2.344827586,0.332819124483
1,2.482758621,0.351442260529
1,2.620689655,0.372019367597
1,2.75862069,0.394068525892
1,2.896551724,0.418603247763
1,3.034482759,0.444599421623
1,3.172413793,0.471978005202
1,3.310344828,0.500655004683
1,3.448275862,0.530526234603
1,3.586206897,0.561569646911
1,3.724137931,0.59357080292
1,3.862068966,0.626331674622
1,4,0.659752399456
1.0464,0,0.283579985192
1.0464,0.1379310345,0.270783828419
1.0464,0.275862069,0.259178780305
1.0464,0.4137931034,0.250226940535
1.0464,0.5517241379,0.242771460907
1.0464,0.6896551724,0.236837164657
1.0464,0.8275862069,0.232480393808
1.0464,0.9655172414,0.22969610195
1.0464,1.103448276,0.228374271608
1.0464,1.24137931,0.228330674431
1.0464,1.379310345,0.229386078698
1.0464,1.517241379,0.231447029351
1.0464,1.655172414,0.234530477505
1.0464,1.793103448,0.238724584777
1.0464,1.931034483,0.244122410383
1.0464,2.068965517,0.250781422902
1.0464,2.206896552,0.258743862796
1.0464,2.344827586,0.269026200717
1.0464,2.482758621,0.280590190569
1.0464,2.620689655,0.29327291787
1.0464,2.75862069,0.308635134751
1.0464,2.896551724,0.324837633768
1.0464,3.034482759,0.343586766839
1.0464,3.172413793,0.363395783785
1.0464,3.310344828,0.385551936963
1.0464,3.448275862,0.409312346533
1.0464,3.586206897,0.434435529861
1.0464,3.724137931,0.461030070965
1.0464,3.862068966,0.489383263508
1.0464,4,0.518896293589
1.0928,0,0.281130872535
1.0928,0.1379310345,0.266383768388
1.0928,0.275862069,0.253279651469
1.0928,0.4137931034,0.242072341306
1.0928,0.5517241379,0.232014939009
1.0928,0.6896551724,0.223891935521
1.0928,0.8275862069,0.218341114481
1.0928,0.9655172414,0.214885658041
1.0928,1.103448276,0.21360216375
1.0928,1.24137931,0.214206596027
1.0928,1.379310345,0.216037414378
1.0928,1.517241379,0.218268585281
1.0928,1.655172414,0.220177046054
1.0928,1.793103448,0.221324391466
1.0928,1.931034483,0.221636856312
1.0928,2.068965517,0.221412899845
1.0928,2.206896552,0.221261107815
1.0928,2.344827586,0.221946022074
1.0928,2.482758621,0.224151705626
1.0928,2.620689655,0.228520908394
1.0928,2.75862069,0.235478978488
1.0928,2.896551724,0.24422873097
1.0928,3.034482759,0.254411409588
1.0928,3.172413793,0.266636022219
1.0928,3.310344828,0.280506808413
1.0928,3.448275862,0.295306975921
1.0928,3.586206897,0.31249305383
1.0928,3.724137931,0.330459786834
