rb_over_a,temperature_over_omega,norm_loss
1,1,0.73416282586
1,0.9663793103,0.758497215176
1,0.9327586207,0.782806237855
1,0.899137931,0.806894175254
1,0.8655172414,0.83053904823
1,0.8318965517,0.853495031678
1,0.7982758621,0.875497268414
1,0.7646551724,0.896269686755
1,0.7310344828,0.915536342333
1,0.6974137931,0.933036559764
1,0.6637931034,0.948543672362
1,0.6301724138,0.961886386318
1,0.5965517241,0.97297071637
1,0.5629310345,0.981799153659
1,0.5293103448,0.988482532608
1,0.4956896552,0.993239529349
1,0.4620689655,0.996379649506
1,0.4284482759,0.998268705582
1,0.3948275862,0.999281229689
1,0.3612068966,0.999750582339
1,0.3275862069,0.999931360216
1,0.2939655172,0.99998610524
1,0.2603448276,0.999998151467
1,0.2267241379,0.999999864913
1,0.1931034483,0.999999995991
1,0.1594827586,0.999999999971
1,0.125862069,0.999999999997
1,0.09224137931,0.999999999997
1,0.05862068966,0.999999999997
1,0.025,0.999999999997
1.0464,1,0.604126051074
1.0464,0.9663793103,0.629397101468
1.0464,0.9327586207,0.655474791677
1.0464,0.899137931,0.682260380985
1.0464,0.8655172414,0.709621528276
1.0464,0.8318965517,0.737387322646
1.0464,0.7982758621,0.765343705389
1.0464,0.7646551724,0.793229913244
1.0464,0.7310344828,0.820736840734
1.0464,0.6974137931,0.847508530431
1.0464,0.6637931034,0.873148315817
1.0464,0.6301724138,0.89723137897
1.0464,0.5965517241,0.919325492142
1.0464,0.5629310345,0.939021244733
1.0464,0.5293103448,0.955971778653
1.0464,0.4956896552,0.969939599698
1.0464,0.4620689655,0.980844203993
1.0464,0.4284482759,0.988799451035
1.0464,0.3948275862,0.994125457454
1.0464,0.3612068966,0.997319680715
1.0464,0.3275862069,0.998980426401
1.0464,0.2939655172,0.999695691043
1.0464,0.2603448276,0.999934872821
1.0464,0.2267241379,0.999991324432
1.0464,0.1931034483,0.999999431261
1.0464,0.1594827586,0.999999988078
1.0464,0.125862069,0.999999999965
1.0464,0.09224137931,0.999999999993
