rb_over_a,temperature_over_omega,purity
1,1,0.039195424764
1,0.9663793103,0.0431488725568
1,0.9327586207,0.0478658736882
1,0.899137931,0.0535300655565
1,0.8655172414,0.0603753142692
1,0.8318965517,0.0686999087264
1,0.7982758621,0.0788841748913
1,0.7646551724,0.0914116132191
1,0.7310344828,0.106892880394
1,0.6974137931,0.126090351777
1,0.6637931034,0.14993811702
1,0.6301724138,0.17954749996
1,0.5965517241,0.216181184366
1,0.5629310345,0.261170342169
1,0.5293103448,0.315741717894
1,0.4956896552,0.380722587794
1,0.4620689655,0.456113341452
1,0.4284482759,0.540574603635
1,0.3948275862,0.630972526102
1,0.3612068966,0.722234418611
1,0.3275862069,0.807810836571
1,0.2939655172,0.880913975744
1,0.2603448276,0.936351061125
1,0.2267241379,0.972300949551
1,0.1931034483,0.991088361375
1,0.1594827586,0.998225949718
1,0.125862069,0.999848984599
1,0.09224137931,0.999997779805
1,0.05862068966,0.999999999712
1,0.025,1
1.0464,1,0.0237009178521
1.0464,0.9663793103,0.0253236288461
1.0464,0.9327586207,0.0272367708075
1.0464,0.899137931,0.0295092734336
1.0464,0.8655172414,0.0322301664095
1.0464,0.8318965517,0.0355153920624
1.0464,0.7982758621,0.0395171665839
1.0464,0.7646551724,0.0444368734264
1.0464,0.7310344828,0.0505428125157
1.0464,0.6974137931,0.0581945168605
1.0464,0.6637931034,0.0678756895721
1.0464,0.6301724138,0.0802378544523
1.0464,0.5965517241,0.0961559659479
1.0464,0.5629310345,0.116794280665
1.0464,0.5293103448,0.143673520065
1.0464,0.4956896552,0.178715212553
1.0464,0.4620689655,0.224211929332
1.0464,0.4284482759,0.282631892511
1.0464,0.3948275862,0.356125533489
1.0464,0.3612068966,0.445604117471
1.0464,0.3275862069,0.549396036991
1.0464,0.2939655172,0.661854158927
1.0464,0.2603448276,0.772846932241
1.0464,0.2267241379,0.869401756113
1.0464,0.1931034483,0.940088330458
1.0464,0.1594827586,0.980591997307
1.0464,0.125862069,0.99653145563
1.0464,0.09224137931,0.999813461708
1.0464,0.05862068966,0.999999593448
1.0464,0.025,1
1.0928,1,0.018593730309
1.0928,0.9663793103,0.0194975718061
1.0928,0.9327586207,0.02054633
1.0928,0.899137931,0.0217712961082
1.0928,0.8655172414,0.0232122402854
1.0928,0.8318965517,0.0249201597016
1.0928,0.7982758621,0.0269610520599
1.0928,0.7646551724,0.0294211393163
1.0928,0.7310344828,0.0324141532057
1.0928,0.6974137931,0.0360915620189
1.0928,0.6637931034,0.0406569950458
1.0928,0.6301724138,0.0463866337135
1.0928,0.5965517241,0.0536579913358
1.0928,0.5629310345,0.0629902273922
1.0928,0.5293103448,0.0750996755808
1.0928,0.4956896552,0.0909739063168
1.0928,0.4620689655,0.111964796369
1.0928,0.4284482759,0.139892539124
1.0928,0.3948275862,0.177132754408
1.0928,0.3612068966,0.226620195205
1.0928,0.3275862069,0.291638914938
1.0928,0.2939655172,0.375186932101
1.0928,0.2603448276,0.478651551145
1.0928,0.2267241379,0.599618854281
1.0928,0.1931034483,0.729178013314
1.0928,0.1594827586,0.850392884868
1.0928,0.125862069,0.941632411615
1.0928,0.09224137931,0.988523631072
1.0928,0.05862068966,0.999613906215
1.0928,0.025,0.999999997656
1.1391,1,0.0207399794533
1.1391,0.9663793103,0.0218847923949
1.1391,0.9327586207,0.0232117368988
1.1391,0.899137931,0.0247590357725
1.1391,0.8655172414,0.0265747632011
1.1391,0.8318965517,0.0287198074212
1.1391,0.7982758621,0.0312718269001
1.1391,0.7646551724,0.0343305524733
1.1391,0.7310344828,0.0380249091302
1.1391,0.6974137931,0.042522583778
1.1391,0.6637931034,0.0480428448727
1.1391,0.6301724138,0.0548736044418
1.1391,0.5965517241,0.0633938448369
1.1391,0.5629310345,0.0741024857413
1.1391,0.5293103448,0.0876542939594
1.1391,0.4956896552,0.104902008822
1.1391,0.4620689655,0.126942412049
1.1391,0.4284482759,0.155157767489
1.1391,0.3948275862,0.191232286894
1.1391,0.3612068966,0.237127834696
1.1391,0.3275862069,0.29496756827
1.1391,0.2939655172,0.366765744375
1.1391,0.2603448276,0.453895749518
1.1391,0.2267241379,0.556132700693
1.1391,0.1931034483,0.67011314619
1.1391,0.1594827586,0.787345674102
1.1391,0.125862069,0.892812654825
1.1391,0.09224137931,0.966964910371
1.1391,0.05862068966,0.997198256796
1.1391,0.025,0.999999617946
1.1855,1,0.0311851107724
1.1855,0.9663793103,0.0339745774038
1.1855,0.9327586207,0.0373029049579
1.1855,0.899137931,0.0413030783642
1.1855,0.8655172414,0.0461465977369
1.1855,0.8318965517,0.0520556330721
1.1855,0.7982758621,0.0593189436011
1.1855,0.7646551724,0.0683124109109
1.1855,0.7310344828,0.0795248564571
1.1855,0.6974137931,0.0935891747045
1.1855,0.6637931034,0.111316945887
1.1855,0.6301724138,0.133730926075
1.1855,0.5965517241,0.162084370288
1.1855,0.5629310345,0.197845047671
1.1855,0.5293103448,0.242607863104
1.1855,0.4956896552,0.297887431527
1.1855,0.4620689655,0.364742247591
1.1855,0.4284482759,0.443219143287
1.1855,0.3948275862,0.531704274908
1.1855,0.3612068966,0.626418595214
1.1855,0.3275862069,0.721420987576
1.1855,0.2939655172,0.809429351218
1.1855,0.2603448276,0.883440242297
1.1855,0.2267241379,0.938651695022
1.1855,0.1931034483,0.973907444044
1.1855,0.1594827586,0.992005383773
1.1855,0.125862069,0.998609940789
1.1855,0.09224137931,0.999924121511
1.1855,0.05862068966,0.999999819286
1.1855,0.025,1
1.2319,1,0.0547899323613
1.2319,0.9663793103,0.0617397361834
1.2319,0.9327586207,0.0701486860872
1.2319,0.899137931,0.0803737854168
1.2319,0.8655172414,0.0928617323839
1.2319,0.8318965517,0.108166878791
1.2319,0.7982758621,0.126968037942
1.2319,0.7646551724,0.15007938013
1.2319,0.7310344828,0.178447011699
1.2319,0.6974137931,0.213117902008
1.2319,0.6637931034,0.255162449902
1.2319,0.6301724138,0.305528850724
1.2319,0.5965517241,0.364812096583
1.2319,0.5629310345,0.432941209917
1.2319,0.5293103448,0.508832074438
1.2319,0.4956896552,0.590115984625
1.2319,0.4620689655,0.673106799869
1.2319,0.4284482759,0.753156086466
1.2319,0.3948275862,0.825425309676
1.2319,0.3612068966,0.88589482987
1.2319,0.3275862069,0.932257947123
