rb_over_a,delta_over_omega,threshold_temperature_over_omega
1,0,0.226774036116
1,0.1379310345,0.216366047855
1,0.275862069,0.207171748487
1,0.4137931034,0.19898569926
1,0.5517241379,0.192116489421
1,0.6896551724,0.187670980503
1,0.8275862069,0.184844048429
1,0.9655172414,0.183654861984
1,1.103448276,0.184129434834
1,1.24137931,0.186256312857
1,1.379310345,0.19000059194
1,1.517241379,0.195761102192
1,1.655172414,0.203449750149
1,1.793103448,0.212137352741
1,1.931034483,0.221871296011
1,2.068965517,0.233824145001
1,2.206896552,0.246925110837
1,2.344827586,0.260796642498
1,2.482758621,0.277277597301
1,2.620689655,0.293905889516
1,2.75862069,0.313133036459
1,2.896551724,0.332912051187
1,3.034482759,0.354131726142
1,3.172413793,0.376764553148
1,3.310344828,0.400013725797
1,3.448275862,0.424332960851
1,3.586206897,0.449826969177
1,3.724137931,0.47587311881
1,3.862068966,0.502402610908
1,4,0.52937093464
1.0464,0,0.22388143228
1.0464,0.1379310345,0.211669217531
1.0464,0.275862069,0.199908975047
1.0464,0.4137931034,0.189050509181
1.0464,0.5517241379,0.18033275516
1.0464,0.6896551724,0.172565758577
1.0464,0.8275862069,0.165732983333
1.0464,0.9655172414,0.160064155271
1.0464,1.103448276,0.15667851092
1.0464,1.24137931,0.154980356221
1.0464,1.379310345,0.154873745728
1.0464,1.517241379,0.156365592581
1.0464,1.655172414,0.159452234932
1.0464,1.793103448,0.164982070488
1.0464,1.931034483,0.171762117183
1.0464,2.068965517,0.179519013008
1.0464,2.206896552,0.188224549919
1.0464,2.344827586,0.198905543482
1.0464,2.482758621,0.210681648753
1.0464,2.620689655,0.222823557621
1.0464,2.75862069,0.237123667007
1.0464,2.896551724,0.251807052863
1.0464,3.034482759,0.26801442931
1.0464,3.172413793,0.285170445329
1.0464,3.310344828,0.303777395259
1.0464,3.448275862,0.323094984128
1.0464,3.586206897,0.344254002654
1.0464,3.724137931,0.365914236152
1.0464,3.862068966,0.388840294529
1.0464,4,0.412965652696
1.0928,0,0.220709881591
1.0928,0.1379310345,0.206683725284
