rb_over_a,delta_over_omega,threshold_temperature_over_omega
1,0,0.155368581085
1,0.1379310345,0.145278383516
1,0.275862069,0.137982554853
1,0.4137931034,0.132516111714
1,0.5517241379,0.128379688804
1,0.6896551724,0.124882171985
1,0.8275862069,0.121289330023
1,0.9655172414,0.119817740435
1,1.103448276,0.120277309679
1,1.24137931,0.122731172132
1,1.379310345,0.126694282854
1,1.517241379,0.130298323307
1,1.655172414,0.135125769723
1,1.793103448,0.141500844148
1,1.931034483,0.150102973224
1,2.068965517,0.160923724626
1,2.206896552,0.169231962002
1,2.344827586,0.179791157205
1,2.482758621,0.193726390686
1,2.620689655,0.204581798309
1,2.75862069,0.218506972706
1,2.896551724,0.233247195658
1,3.034482759,0.247897294151
1,3.172413793,0.26482593432
1,3.310344828,0.28070707853
1,3.448275862,0.298858033638
1,3.586206897,0.31618771664
1,3.724137931,0.334987209923
1,3.862068966,0.353875380961
1,4,0.372918913958
1.0464,0,0.151612748437
1.0464,0.1379310345,0.140845364208
1.0464,0.275862069,0.132691596004
1.0464,0.4137931034,0.126035796119
1.0464,0.5517241379,0.116129273488
1.0464,0.6896551724,0.109118232275
1.0464,0.8275862069,0.104095934557
1.0464,0.9655172414,0.100517592828
1.0464,1.103448276,0.0981444137296
1.0464,1.24137931,0.0969009393266
1.0464,1.379310345,0.0967791440663
1.0464,1.517241379,0.097785578704
1.0464,1.655172414,0.0999358541424
1.0464,1.793103448,0.103297260296
1.0464,1.931034483,0.108076598777
1.0464,2.068965517,0.114754809339
1.0464,2.206896552,0.124294071692
1.0464,2.344827586,0.131680434067
1.0464,2.482758621,0.139725986463
1.0464,2.620689655,0.150187956843
1.0464,2.75862069,0.162300352816
1.0464,2.896551724,0.172129456492
1.0464,3.034482759,0.18474398589
1.0464,3.172413793,0.198215331429
1.0464,3.310344828,0.210717995452
1.0464,3.448275862,0.227022877789
1.0464,3.586206897,0.240275930143
1.0464,3.724137931,0.257153011739
1.0464,3.862068966,0.272601714732
1.0464,4,0.290547189101
1.0928,0,0.148062515551
1.0928,0.1379310345,0.136830795028
1.0928,0.275862069,0.127931533032
1.0928,0.4137931034,0.115787873409
1.0928,0.5517241379,0.105872360529
1.0928,0.6896551724,0.0982813312752
1.0928,0.8275862069,0.0914502350115
1.0928,0.9655172414,0.0816097277132
1.0928,1.103448276,0.0751860545594
1.0928,1.24137931,0.0708387654596
1.0928,1.379310345,0.0679352390749
1.0928,1.517241379,0.0661692138388
1.0928,1.655172414,0.0653537811161
1.0928,1.793103448,0.0653737689048
1.0928,1.931034483,0.0662186684912
1.0928,2.068965517,0.067991604355
1.0928,2.206896552,0.0708850588234
1.0928,2.344827586,0.0752190663417
1.0928,2.482758621,0.0816338094364
1.0928,2.620689655,0.0914690140386
1.0928,2.75862069,0.0984171215602
1.0928,2.896551724,0.106212054969
1.0928,3.034482759,0.116438891364
1.0928,3.172413793,0.128518167153
1.0928,3.310344828,0.137770584835
1.0928,3.448275862,0.149501569663
1.0928,3.586206897,0.162880688694
1.0928,3.724137931,0.17389594675
1.0928,3.862068966,0.188156147738
1.0928,4,0.201363097076
1.1391,0,0.144979988208
1.1391,0.1379310345,0.133419726677
1.1391,0.275862069,0.1220603252
1.1391,0.4137931034,0.10849017013
1.1391,0.5517241379,0.098516591109
1.1391,0.6896551724,0.0876262308963
1.1391,0.8275862069,0.0755385067936
1.1391,0.9655172414,0.0674950465372
1.1391,1.103448276,0.0619065130263
1.1391,1.24137931,0.059550648898
1.1391,1.379310345,0.0614912472208
1.1391,1.517241379,0.0664862114307
1.1391,1.655172414,0.0728356241949
1.1391,1.793103448,0.0797062166849
1.1391,1.931034483,0.0862952915645
1.1391,2.068965517,0.0913744014915
1.1391,2.206896552,0.0929526520852
1.1391,2.344827586,0.0923527214709
1.1391,2.482758621,0.0881706594378
1.1391,2.620689655,0.0819647990992
1.1391,2.75862069,0.0751586150237
1.1391,2.896551724,0.0687053073135
1.1391,3.034482759,0.0633866734669
1.1391,3.172413793,0.060629720717
1.1391,3.310344828,0.0619671195943
1.1391,3.448275862,0.066930547554
1.1391,3.586206897,0.0745700128871
1.1391,3.724137931,0.0860417188567
1.1391,3.862068966,0.0976873880052
1.1391,4,0.107709758492
1.1855,0,0.142473587342
1.1855,0.1379310345,0.13066596131
1.1855,0.275862069,0.11641410201
1.1855,0.4137931034,0.103331865714
1.1855,0.5517241379,0.0929851034344
1.1855,0.6896551724,0.077299821906
1.1855,0.8275862069,0.066969423832
1.1855,0.9655172414,0.0600166983979
1.1855,1.103448276,0.0594235309497
1.1855,1.24137931,0.067325088517
1.1855,1.379310345,0.081989850177
1.1855,1.517241379,0.0994019892677
1.1855,1.655172414,0.114257065192
1.1855,1.793103448,0.130173467681
1.1855,1.931034483,0.141562552165
1.1855,2.068965517,0.154208672136
1.1855,2.206896552,0.164137934264
1.1855,2.344827586,0.171056396382
1.1855,2.482758621,0.17694925186
1.1855,2.620689655,0.181342286235
1.1855,2.75862069,0.183730536832
