rb_over_a,temperature_over_omega,purity
1,1,0.0202585347192
1,0.9663793103,0.0214497523765
1,0.9327586207,0.0228607281568
1,0.899137931,0.0245473524056
1,0.8655172414,0.0265834799762
1,0.8318965517,0.0290678079031
1,0.7982758621,0.032133747628
1,0.7646551724,0.0359637085761
1,0.7310344828,0.0408098913531
1,0.6974137931,0.0470246564699
1,0.6637931034,0.0551048199477
1,0.6301724138,0.0657556978385
1,0.5965517241,0.0799817451743
1,0.5629310345,0.0992092849403
1,0.5293103448,0.125437803376
1,0.4956896552,0.161392255709
1,0.4620689655,0.210577342238
1,0.4284482759,0.277018730687
1,0.3948275862,0.364296922195
1,0.3612068966,0.473427684495
1,0.3275862069,0.599697374304
1,0.2939655172,0.730239136474
1,0.2603448276,0.845988258069
1,0.2267241379,0.929963702969
1,0.1931034483,0.976925968591
1,0.1594827586,0.995361873939
1,0.125862069,0.999603645353
1,0.09224137931,0.99999414336
1,0.05862068966,0.999999999232
1,0.025,1
1.0464,1,0.0139066500771
1.0464,0.9663793103,0.0143176961601
1.0464,0.9327586207,0.0147972852005
1.0464,0.899137931,0.0153614010399
1.0464,0.8655172414,0.0160308751511
1.0464,0.8318965517,0.0168332087285
1.0464,0.7982758621,0.0178052155113
1.0464,0.7646551724,0.0189969130101
1.0464,0.7310344828,0.020477340361
1.0464,0.6974137931,0.0223434117557
1.0464,0.6637931034,0.0247337228079
1.0464,0.6301724138,0.0278502972084
1.0464,0.5965517241,0.0319936195717
1.0464,0.5629310345,0.0376180014075
1.0464,0.5293103448,0.0454246279243
1.0464,0.4956896552,0.0565127318157
1.0464,0.4620689655,0.0726211748703
1.0464,0.4284482759,0.0965147385665
1.0464,0.3948275862,0.132502585159
1.0464,0.3612068966,0.186941457828
1.0464,0.3275862069,0.268107002011
1.0464,0.2939655172,0.383783516388
1.0464,0.2603448276,0.534346696575
1.0464,0.2267241379,0.702619244701
1.0464,0.1931034483,0.852497740775
1.0464,0.1594827586,0.949963866316
1.0464,0.125862069,0.990854153131
1.0464,0.09224137931,0.999499782889
1.0464,0.05862068966,0.999998873781
1.0464,0.025,1
1.0928,1,0.0117274222867
1.0928,0.9663793103,0.0118881147876
1.0928,0.9327586207,0.0120723687151
1.0928,0.899137931,0.0122850076651
1.0928,0.8655172414,0.0125321489659
1.0928,0.8318965517,0.0128216370158
1.0928,0.7982758621,0.0131636542952
1.0928,0.7646551724,0.01357159608
1.0928,0.7310344828,0.0140633441767
1.0928,0.6974137931,0.0146631565083
1.0928,0.6637931034,0.0154045274469
1.0928,0.6301724138,0.0163346131635
1.0928,0.5965517241,0.0175212414868
1.0928,0.5629310345,0.0190643000818
1.0928,0.5293103448,0.0211147425275
1.0928,0.4956896552,0.0239072179397
1.0928,0.4620689655,0.0278177245148
1.0928,0.4284482759,0.0334681362397
1.0928,0.3948275862,0.0419202463977
1.0928,0.3612068966,0.055050863909
1.0928,0.3275862069,0.0762347683457
1.0928,0.2939655172,0.111554083578
1.0928,0.2603448276,0.171529514808
1.0928,0.2267241379,0.271969447439
1.0928,0.1931034483,0.42834607849
1.0928,0.1594827586,0.634848968916
1.0928,0.125862069,0.838841226345
1.0928,0.09224137931,0.964920977147
1.0928,0.05862068966,0.998664185313
1.0928,0.025,0.999999987639
1.1391,1,0.0114129754563
1.1391,0.9663793103,0.0115331853064
1.1391,0.9327586207,0.0116693872645
1.1391,0.899137931,0.0118245395268
1.1391,0.8655172414,0.0120023138712
1.1391,0.8318965517,0.0122073113377
1.1391,0.7982758621,0.0124453571757
1.1391,0.7646551724,0.0127239093311
1.1391,0.7310344828,0.0130526320358
1.1391,0.6974137931,0.0134442138757
1.1391,0.6637931034,0.0139155556978
1.1391,0.6301724138,0.0144895304846
1.1391,0.5965517241,0.0151976324709
1.1391,0.5629310345,0.0160840685909
1.1391,0.5293103448,0.0172122092488
1.1391,0.4956896552,0.0186750207759
1.1391,0.4620689655,0.0206123843986
1.1391,0.4284482759,0.023240646518
1.1391,0.3948275862,0.0269044453541
1.1391,0.3612068966,0.0321698899858
1.1391,0.3275862069,0.0399838551385
1.1391,0.2939655172,0.0520449695072
1.1391,0.2603448276,0.0713164909291
1.1391,0.2267241379,0.10308727535
1.1391,0.1931034483,0.156468023118
1.1391,0.1594827586,0.245690222172
1.1391,0.125862069,0.389091749304
1.1391,0.09224137931,0.600571858044
1.1391,0.05862068966,0.853366510302
1.1391,0.025,0.996552006654
1.1855,1,0.0132517300926
1.1855,0.9663793103,0.0135787113482
1.1855,0.9327586207,0.0139585964066
1.1855,0.899137931,0.0144034785167
1.1855,0.8655172414,0.0149290711555
1.1855,0.8318965517,0.0155560583884
1.1855,0.7982758621,0.0163120513197
1.1855,0.7646551724,0.0172344695467
1.1855,0.7310344828,0.0183748591465
1.1855,0.6974137931,0.0198054825403
1.1855,0.6637931034,0.021629570489
1.1855,0.6301724138,0.0239976049673
1.1855,0.5965517241,0.0271338590916
1.1855,0.5629310345,0.0313784439637
1.1855,0.5293103448,0.0372613956681
1.1855,0.4956896552,0.0456176769126
1.1855,0.4620689655,0.0578225931294
1.1855,0.4284482759,0.0761013527068
1.1855,0.3948275862,0.104088051794
1.1855,0.3612068966,0.147571637633
1.1855,0.3275862069,0.215012235206
1.1855,0.2939655172,0.316565282431
1.1855,0.2603448276,0.458514953706
1.1855,0.2267241379,0.631431781521
1.1855,0.1931034483,0.801080302707
1.1855,0.1594827586,0.923977201758
1.1855,0.125862069,0.98310513535
1.1855,0.09224137931,0.998641675761
1.1855,0.05862068966,0.999991979561
1.1855,0.025,1
1.2319,1,0.0162131852525
1.2319,0.9663793103,0.0170764307273
1.2319,0.9327586207,0.0181217925086
1.2319,0.899137931,0.0194035981364
1.2319,0.8655172414,0.0209920038949
1.2319,0.8318965517,0.0229833492913
1.2319,0.7982758621,0.0255116210942
1.2319,0.7646551724,0.0287651200185
1.2319,0.7310344828,0.0330120700433
1.2319,0.6974137931,0.0386390199371
1.2319,0.6637931034,0.0462092735422
1.2319,0.6301724138,0.0565503961976
1.2319,0.5965517241,0.0708827910246
1.2319,0.5629310345,0.0909988937464
1.2319,0.5293103448,0.119479723439
1.2319,0.4956896552,0.159922480728
1.2319,0.4620689655,0.216864123216
1.2319,0.4284482759,0.29529750911
1.2319,0.3948275862,0.398438224734
1.2319,0.3612068966,0.524271403851
1.2319,0.3275862069,0.661917287698
1.2319,0.2939655172,0.791636311412
1.2319,0.2603448276,0.893178127619
1.2319,0.2267241379,0.95686781335
1.2319,0.1931034483,0.987429096261
1.2319,0.1594827586,0.997759792687
1.2319,0.125862069,0.999829119051
1.2319,0.09224137931,0.999997706981
1.2319,0.05862068966,0.999999999718
1.2319,0.025,1
1.2783,1,0.0192974843736
1.2783,0.9663793103,0.0208394320872
1.2783,0.9327586207,0.0227481422048
1.2783,0.899137931,0.0251354126189
1.2783,0.8655172414,0.0281538235089
1.2783,0.8318965517,0.0320138023571
1.2783,0.7982758621,0.0370083263988
1.2783,0.7646551724,0.0435486871265
1.2783,0.7310344828,0.0522165530641
1.2783,0.6974137931,0.0638384065327
1.2783,0.6637931034,0.0795870606033
1.2783,0.6301724138,0.101104863909
1.2783,0.5965517241,0.130641438666
1.2783,0.5629310345,0.171136510932
1.2783,0.5293103448,0.226109809463
1.2783,0.4956896552,0.299084054426
1.2783,0.4620689655,0.392123484934
1.2783,0.4284482759,0.5039905776
1.2783,0.3948275862,0.627063253491
1.2783,0.3612068966,0.747990807495
1.2783,0.3275862069,0.851114900554
1.2783,0.2939655172,0.925523562194
1.2783,0.2603448276,0.969773672329
1.2783,0.2267241379,0.990695557107
1.2783,0.1931034483,0.998069277844
1.2783,0.1594827586,0.999784142146
1.2783,0.125862069,0.999991865334
1.2783,0.09224137931,0.999999967483
1.2783,0.05862068966,1
1.2783,0.025,1
1.3247,1,0.021437304044
1.3247,0.9663793103,0.0234638910254
1.3247,0.9327586207,0.0259915275796
1.3247,0.899137931,0.0291762031172
1.3247,0.8655172414,0.0332302146643
1.3247,0.8318965517,0.0384463720705
1.3247,0.7982758621,0.0452325108666
1.3247,0.7646551724,0.0541557500455
1.3247,0.7310344828,0.0660118417017
1.3247,0.6974137931,0.0819056433886
1.3247,0.6637931034,0.1033605222
1.3247,0.6301724138,0.132424551416
1.3247,0.5965517241,0.171728342136
1.3247,0.5629310345,0.224377817621
1.3247,0.5293103448,0.293272246402
1.3247,0.4956896552,0.380792086839
